"","bResult","blueTop"
"440",1,"Darshan"
"441",1,"Huni"
"442",0,"Ray"
"443",0,"Darshan"
"444",1,"Hauntzer"
"445",1,"Ray"
"446",1,"zig"
"447",0,"Ray"
"448",0,"zig"
"449",1,"Hauntzer"
"450",1,"Lourlo"
"451",0,"Seraph"
"452",0,"kfo"
"453",1,"Quas"
"454",1,"Huni"
"455",0,"Impact"
"456",1,"Hauntzer"
"457",0,"Impact"
"458",0,"Seraph"
"459",1,"Huni"
"460",0,"Quas"
"461",1,"Ray"
"462",0,"Lourlo"
"463",0,"Huni"
"464",0,"Lourlo"
"465",0,"Ray"
"466",1,"Hauntzer"
"467",0,"Darshan"
"468",0,"zig"
"469",1,"Darshan"
"470",0,"zig"
"471",0,"kfo"
"472",1,"zig"
"473",0,"Seraph"
"474",1,"Darshan"
"475",0,"Quas"
"476",1,"Impact"
"477",1,"Lourlo"
"478",1,"kfo"
"479",1,"Lourlo"
"480",0,"Huni"
"481",1,"Huni"
"482",1,"zig"
"483",1,"Quas"
"484",1,"zig"
"485",0,"kfo"
"486",1,"Hauntzer"
"487",0,"Impact"
"488",0,"Ray"
"489",1,"Impact"
"490",0,"Impact"
"491",0,"Darshan"
"492",0,"Impact"
"493",0,"Lourlo"
"494",1,"Hauntzer"
"495",1,"Quas"
"496",0,"Seraph"
"497",0,"zig"
"498",1,"Lourlo"
"499",1,"Huni"
"500",0,"kfo"
"501",0,"Seraph"
"502",0,"Ray"
"503",1,"Seraph"
"504",1,"Huni"
"505",0,"Quas"
"506",1,"kfo"
"507",1,"Ray"
"508",0,"kfo"
"509",0,"Darshan"
"510",0,"Lourlo"
"511",1,"Darshan"
"512",1,"Hauntzer"
"513",1,"zig"
"514",0,"Hauntzer"
"515",0,"Quas"
"516",1,"Lourlo"
"517",1,"Impact"
"518",0,"zig"
"519",0,"Seraph"
"520",1,"Impact"
"521",0,"Ray"
"522",1,"Huni"
"523",1,"Hauntzer"
"524",0,"Seraph"
"525",0,"kfo"
"526",1,"Darshan"
"527",0,"Huni"
"528",1,"Hauntzer"
"529",0,"Brandini"
"530",0,"Seraph"
"531",1,"Brandini"
"532",1,"Darshan"
"533",1,"Quas"
"534",1,"Darshan"
"535",1,"Impact"
"536",0,"kfo"
"537",1,"Hauntzer"
"538",1,"Quas"
"539",1,"Hauntzer"
"540",0,"Lourlo"
"541",1,"Impact"
"542",1,"Ray"
"543",1,"Lourlo"
"544",1,"Ray"
"545",1,"Brandini"
"546",1,"Huni"
"547",0,"Brandini"
"548",1,"Darshan"
"549",1,"Ray"
"550",0,"Darshan"
"551",1,"Seraph"
"552",0,"kfo"
"553",1,"Balls"
"554",1,"Hauntzer"
"555",0,"Balls"
"556",1,"Hauntzer"
"557",1,"Lourlo"
"558",0,"Impact"
"559",1,"Lourlo"
"560",0,"Darshan"
"561",0,"Lourlo"
"562",1,"Darshan"
"563",1,"Lourlo"
"564",1,"Darshan"
"565",0,"Huni"
"566",1,"Hauntzer"
"567",0,"Huni"
"568",1,"Huni"
"569",0,"Lourlo"
"570",1,"Huni"
"571",1,"Darshan"
"572",1,"Hauntzer"
"573",1,"Darshan"
"574",1,"Hauntzer"
"575",1,"Darshan"
"576",0,"Impact"
"577",1,"Impact"
"578",1,"Impact"
"579",0,"Seraph"
"580",1,"Darshan"
"581",1,"Darshan"
"582",0,"Darshan"
"583",1,"Darshan"
"584",1,"Huni"
"585",1,"Impact"
"586",0,"Huni"
"587",0,"Impact"
"588",0,"Huni"
"589",1,"Hauntzer"
"590",0,"Darshan"
"591",1,"Hauntzer"
"592",0,"Huni"
"593",0,"Darshan"
"594",0,"Darshan"
"595",1,"Darshan"
"596",1,"Huni"
"597",0,"Hauntzer"
"598",0,"Impact"
"599",1,"Hauntzer"
"600",0,"Impact"
"601",0,"Lourlo"
"602",0,"Lourlo"
"603",1,"Seraph"
"604",1,"Impact"
"605",0,"Seraph"
"606",1,"Impact"
"607",0,"Huni"
"608",1,"Impact"
"609",1,"Huni"
"610",1,"Impact"
"611",0,"Hauntzer"
"612",1,"Impact"
"613",0,"Looper"
"614",1,"zig"
"615",0,"Darshan"
"616",1,"Lourlo"
"617",0,"Seraph"
"618",1,"Balls"
"619",1,"Looper"
"620",1,"Flame"
"621",0,"Looper"
"622",1,"Ssumday"
"623",1,"zig"
"624",1,"Ssumday"
"625",1,"Hauntzer"
"626",1,"Flame"
"627",1,"Hauntzer"
"628",0,"Seraph"
"629",1,"Darshan"
"630",0,"Ssumday"
"631",0,"Ray"
"632",0,"Ssumday"
"633",1,"Lourlo"
"634",1,"Balls"
"635",0,"Lourlo"
"636",1,"Balls"
"637",0,"Darshan"
"638",0,"Hauntzer"
"639",0,"Ssumday"
"640",1,"Hauntzer"
"641",0,"Flame"
"642",1,"Impact"
"643",1,"zig"
"644",0,"Seraph"
"645",1,"Hauntzer"
"646",1,"Lourlo"
"647",1,"Hauntzer"
"648",1,"Ssumday"
"649",1,"Looper"
"650",0,"Ssumday"
"651",1,"zig"
"652",0,"Lourlo"
"653",1,"Looper"
"654",1,"Balls"
"655",1,"Looper"
"656",1,"Seraph"
"657",1,"Flame"
"658",0,"Seraph"
"659",1,"Impact"
"660",1,"Darshan"
"661",1,"Impact"
"662",0,"Flame"
"663",1,"zig"
"664",1,"Seraph"
"665",0,"Lourlo"
"666",1,"Darshan"
"667",1,"Hauntzer"
"668",0,"Darshan"
"669",1,"Balls"
"670",0,"Ssumday"
"671",0,"Lourlo"
"672",0,"Looper"
"673",1,"Lourlo"
"674",1,"Impact"
"675",0,"Seraph"
"676",1,"zig"
"677",1,"Hauntzer"
"678",0,"zig"
"679",0,"Ssumday"
"680",1,"Darshan"
"681",0,"Flame"
"682",1,"Balls"
"683",1,"Impact"
"684",0,"Looper"
"685",1,"Ray"
"686",1,"Lourlo"
"687",1,"Impact"
"688",1,"Flame"
"689",0,"Ssumday"
"690",0,"Darshan"
"691",1,"Looper"
"692",0,"zig"
"693",1,"Balls"
"694",1,"Hauntzer"
"695",0,"Seraph"
"696",0,"Lourlo"
"697",1,"Flame"
"698",1,"Darshan"
"699",1,"zig"
"700",1,"Darshan"
"701",1,"Looper"
"702",0,"Hauntzer"
"703",0,"Balls"
"704",0,"Impact"
"705",0,"Balls"
"706",1,"Ssumday"
"707",0,"Seraph"
"708",1,"Ssumday"
"709",0,"Balls"
"710",0,"Seraph"
"711",1,"zig"
"712",1,"Darshan"
"713",1,"Flame"
"714",1,"Darshan"
"715",1,"Lourlo"
"716",1,"Ssumday"
"717",0,"Lourlo"
"718",0,"Impact"
"719",0,"Hauntzer"
"720",0,"Impact"
"721",1,"Seraph"
"722",0,"Looper"
"723",0,"Balls"
"724",0,"Hauntzer"
"725",0,"Balls"
"726",1,"Flame"
"727",0,"Looper"
"728",1,"zig"
"729",0,"Ray"
"730",1,"Lourlo"
"731",1,"Darshan"
"732",0,"Lourlo"
"733",1,"Flame"
"734",1,"Lourlo"
"735",0,"Flame"
"736",1,"zig"
"737",1,"Darshan"
"738",0,"zig"
"739",0,"Looper"
"740",1,"Impact"
"741",1,"Balls"
"742",1,"Seraph"
"743",1,"Balls"
"744",1,"Hauntzer"
"745",0,"Darshan"
"746",1,"zig"
"747",1,"Ssumday"
"748",1,"zig"
"749",0,"Ssumday"
"750",1,"Hauntzer"
"751",1,"Looper"
"752",1,"Lourlo"
"753",1,"Looper"
"754",1,"Impact"
"755",0,"Balls"
"756",1,"Flame"
"757",1,"Seraph"
"758",0,"Flame"
"759",0,"Wickd"
"760",1,"Werlyb"
"761",1,"YoungBuck"
"762",1,"fredy122"
"763",0,"Cabochard"
"764",0,"Mimer"
"765",1,"Werlyb"
"766",1,"Overpow"
"767",1,"Huni"
"768",0,"Vizicsacsi"
"769",1,"Odoamne"
"770",1,"Vizicsacsi"
"771",1,"Huni"
"772",1,"fredy122"
"773",1,"Wickd"
"774",0,"Cabochard"
"775",0,"Werlyb"
"776",1,"Wickd"
"777",1,"fredy122"
"778",1,"Mimer"
"779",0,"Odoamne"
"780",0,"Huni"
"781",0,"Mimer"
"782",1,"Overpow"
"783",1,"YoungBuck"
"784",1,"Huni"
"785",1,"Cabochard"
"786",1,"Overpow"
"787",0,"Vizicsacsi"
"788",0,"Wickd"
"789",0,"Werlyb"
"790",1,"Odoamne"
"791",0,"Mimer"
"792",1,"Vizicsacsi"
"793",0,"YoungBuck"
"794",1,"Odoamne"
"795",1,"fredy122"
"796",1,"Cabochard"
"797",1,"YoungBuck"
"798",0,"Mimer"
"799",0,"Werlyb"
"800",1,"Vizicsacsi"
"801",0,"Overpow"
"802",1,"kev1n"
"803",1,"Cabochard"
"804",1,"Odoamne"
"805",1,"Huni"
"806",1,"fredy122"
"807",1,"Cabochard"
"808",0,"Vizicsacsi"
"809",1,"Jwaow"
"810",1,"Odoamne"
"811",1,"YoungBuck"
"812",1,"fredy122"
"813",1,"Overpow"
"814",0,"Overpow"
"815",0,"Wickd"
"816",1,"Huni"
"817",1,"Odoamne"
"818",1,"Cabochard"
"819",0,"Cabochard"
"820",0,"Overpow"
"821",0,"YoungBuck"
"822",1,"Wickd"
"823",0,"Werlyb"
"824",0,"Jwaow"
"825",1,"Vizicsacsi"
"826",1,"fredy122"
"827",0,"Werlyb"
"828",0,"Wickd"
"829",1,"YoungBuck"
"830",0,"Odoamne"
"831",1,"fredy122"
"832",0,"Werlyb"
"833",0,"Vizicsacsi"
"834",0,"YoungBuck"
"835",1,"Huni"
"836",0,"Cabochard"
"837",1,"Jwaow"
"838",1,"Odoamne"
"839",0,"Jwaow"
"840",0,"Vizicsacsi"
"841",0,"Werlyb"
"842",0,"Cabochard"
"843",1,"Odoamne"
"844",1,"YoungBuck"
"845",1,"Soaz"
"846",1,"Werlyb"
"847",1,"Steve"
"848",1,"Huni"
"849",0,"Jwaow"
"850",0,"Jwaow"
"851",1,"Huni"
"852",1,"Odoamne"
"853",0,"fredy122"
"854",1,"Vizicsacsi"
"855",0,"Cabochard"
"856",1,"Werlyb"
"857",1,"Vizicsacsi"
"858",1,"Odoamne"
"859",1,"Soaz"
"860",1,"Soaz"
"861",0,"Steve"
"862",0,"fredy122"
"863",1,"Huni"
"864",0,"YoungBuck"
"865",1,"Huni"
"866",1,"Steve"
"867",0,"Jwaow"
"868",1,"Cabochard"
"869",0,"Vizicsacsi"
"870",0,"Werlyb"
"871",1,"Jwaow"
"872",0,"Soaz"
"873",1,"fredy122"
"874",0,"YoungBuck"
"875",1,"fredy122"
"876",1,"Odoamne"
"877",0,"YoungBuck"
"878",0,"Cabochard"
"879",1,"Soaz"
"880",1,"Steve"
"881",0,"Vizicsacsi"
"882",1,"Soaz"
"883",1,"Huni"
"884",1,"Jwaow"
"885",1,"Huni"
"886",1,"Steve"
"887",0,"YoungBuck"
"888",0,"Werlyb"
"889",0,"Odoamne"
"890",1,"Cabochard"
"891",1,"Steve"
"892",0,"Werlyb"
"893",1,"Vizicsacsi"
"894",0,"Jwaow"
"895",0,"fredy122"
"896",1,"Cabochard"
"897",1,"Huni"
"898",0,"Jwaow"
"899",1,"Odoamne"
"900",0,"Lenny"
"901",0,"Steve"
"902",1,"Soaz"
"903",0,"Odoamne"
"904",0,"fredy122"
"905",1,"Steve"
"906",0,"Cabochard"
"907",1,"Vizicsacsi"
"908",1,"Huni"
"909",1,"fredy122"
"910",0,"Werlyb"
"911",0,"Lenny"
"912",0,"Vizicsacsi"
"913",1,"Cabochard"
"914",0,"Steve"
"915",0,"Werlyb"
"916",0,"Odoamne"
"917",1,"Soaz"
"918",0,"Jwaow"
"919",1,"Vizicsacsi"
"920",1,"Lenny"
"921",0,"Werlyb"
"922",0,"fredy122"
"923",0,"Odoamne"
"924",1,"Jwaow"
"925",0,"Lenny"
"926",0,"Cabochard"
"927",1,"fredy122"
"928",0,"Soaz"
"929",1,"Huni"
"930",0,"Werlyb"
"931",1,"Odoamne"
"932",0,"YoungBuck"
"933",1,"Odoamne"
"934",1,"Cabochard"
"935",1,"Vizicsacsi"
"936",1,"Vizicsacsi"
"937",1,"Vizicsacsi"
"938",0,"Huni"
"939",0,"Odoamne"
"940",0,"Huni"
"941",0,"Odoamne"
"942",1,"Huni"
"943",0,"fredy122"
"944",1,"fredy122"
"945",1,"Vizicsacsi"
"946",1,"fredy122"
"947",0,"fredy122"
"948",0,"Odoamne"
"949",0,"Odoamne"
"950",1,"Odoamne"
"951",1,"Odoamne"
"952",1,"Odoamne"
"953",0,"Huni"
"954",0,"Vizicsacsi"
"955",1,"Huni"
"956",1,"Vizicsacsi"
"957",1,"Huni"
"958",1,"Odoamne"
"959",1,"Odoamne"
"960",0,"Werlyb"
"961",1,"Vizicsacsi"
"962",1,"Vizicsacsi"
"963",1,"Steve"
"964",0,"Vizicsacsi"
"965",0,"Steve"
"966",0,"Odoamne"
"967",1,"Soaz"
